userID	displayName	sum(weight)
37997	Shiny	12
58736	Akash Dubey	12
45506	Sterls	12
20585	Dilip Bobby	12
30153	Dimimal13	12
12490	michaelg	12
58334	suztomo	12
89445	doofensmirtz	12
40515	ChiPlusPlus	11
24719	Pedro Alves	11
18673	Arjun Chaudhary	11
23850	Sairaam Venkatraman	11
76899	John Doe	11
26814	Ironluca	11
54046	ARAT	11
50402	Christian	11
45907	Stefan Radonjic	11
15961	user3939059	11
33922	bnorm	11
587	LauriK	11
29575	Stephen Rauch	11
61621	mrin9san	11
1085	insys	11
10135	dmb	11
47728	Saumya Sambit Acharya	11
80271	shivam shah	11
9053	Georg Heiler	11
12580	metjush	11
82762	shrish123 kumar	11
66386	HenryHub	11
5303	conjectures	11
27108	claudius	11
42498	Divyanshu Shekhar	11
104371	Jack M	11
53157	anx199	11
90404	Alexander Soare	11
94972	lonebird	11
10216	Mortezaaa	11
98272	Ben Norris	11
1155	adesantos	11
8338	Mangat Rai Modi	11
3167	David S.	11
41297	ou2105	11
53278	Srishti M	11
83770	Chopin	11
17636	estebanpdl	11
63843	illuminates	11
20487	H4kor	11
73938	Guilherme Felipe Reis	11
2515	Dynamic Stardust	11
46749	nsaura	11
59425	awa	11
73912	Andros Adrianopolos	11
93862	tmaric	11
16251	Avi	11
33716	AKKA	11
19065	bouritosse	11
58785	Ambikeya Singh Sangwan	11
41612	Katherine	11
29026	Chrigi	11
30408	liangjy	11
13235	Peter Gerhat	11
76917	Yaakov Bressler	11
57835	Yassine	11
46143	alexandre_d	11
9728	joe	11
10879	Volatil3	11
11007	pgalilea	11
24742	Chandresh Gupta	11
13662	MarvMind	11
75702	naman	11
32240	Alexander Chervov	11
46505	Borhan Kazimipour	11
20995	josh	11
84942	user1939088	11
95286	C8H10N4O2	11
69391	"\"55thSwiss\""	11
77	Srikar Appalaraju	11
52555	composerMike	11
46624	MkL	11
10327	"\"0xF\""	11
79602	corianne1234	11
65559	Keren	11
68136	DGS	11
40951	xiaodai	11
37502	Berry	11
43017	The predictor	11
61522	Tolga Karahan	11
44785	Skinish	11
5279	Anton Tarasenko	11
35386	Programmer	11
106321	Mikedev	11
18501	Peter Krejzl	11
38083	Louic	11
9314	Bartłomiej Twardowski	11
76074	Lei Xun	11
46301	RSSharma	11
79490	user_12	11
59892	black_cat	11
28685	rob_med	11
73506	A Co	11
5380	Tagar	11
2511	Keith	11
41204	MiloMinderbinder	11
67307	Amelia Bones	11
11141	Amanuel Negash	10
58196	Jinglesting	10
133	gc5	10
375	nfmcclure	10
61378	bipul kalita	10
67175	Faizan Khan	10
23120	ShanZhengYang	10
50991	Prashant Pandey	10
90659	Fabian	10
99684	Josh	10
94702	Anush Kini	10
3328	aSteve	10
28231	milkmotel	10
31990	Tanja Meeren	10
44299	Jay Speidell	10
24883	Aaditya ura	10
52444	MonteCristo	10
25218	L.V.Rao	10
3390	hnadiger	10
54586	Mohamed Abduljawad	10
325	germcd	10
11113	Dref360	10
96922	LdM	10
15064	Kaggle	10
56401	hyunsu jeong	10
7720	Mike Wise	10
60885	prithvi vayu	10
8191	ee2Dev	10
16284	Marcus D	10
44610	Robin	10
54922	Nic	10
16597	CKM	10
23495	Carlo Mazzaferro	10
68133	Isu Shrestha	10
43147	Syed Nauyan Rashid	10
5246	Jo Douglass	10
57967	Rob Campbell	10
13087	blacksite	10
30363	ac-lap	10
40277	m2rik	10
98969	David Marques	10
9191	Lerner Zhang	10
58685	ipramusinto	10
58743	VishwaV	10
41591	InAFlash	10
780	neone4373	10
46375	Qwerto	10
33245	keramat	10
58384	Osama Arshad Dar	10
96274	Nick F	10
63582	Viacheslav Komisarenko	10
17484	hipoglucido	10
74065	rajat kabra	10
22074	Mateusz Konopelski	10
86659	data-journey	10
16220	Jon	10
50211	Gino_JrDataScientist	10
98535	Reut	10
95337	yathislax	10
12665	psmith	10
59758	Matt	10
78207	khwaja wisal	10
16911	Feng Chen	10
104168	jas_0n	10
38467	Neil Varnas	10
3433	innovIsmail	10
43605	Bobson Dugnutt	10
12947	user2270911	10
88749	Ashraful Alam Imran	10
10381	Kimi	10
32669	Bram Vanroy	10
45221	missrg	10
86676	Chicago1988	10
26058	TomR	10
70243	radioactive	10
8465	Manohar Swamynathan	10
66974	Nirmine	10
93564	brethvoice	10
27347	Andrea Sindico	10
53943	benbotto	10
64760	Alex L	10
793	tejaskhot	10
5172	user4290511	10
54252	ukemi	10
54277	Mathews24	10
59436	gammay	10
53283	Hazel	10
54799	jakes	10
61530	Sayem Imtiaz	10
101251	Nauman Akram	10
53400	ahmed	10
156	Marco13	10
41047	vega	10
90615	Amit Raz	10
37461	KOB	10
49375	Richard Careaga	10
53361	Jazz	10
43983	tam	10
3077	Placidia	10
40827	user3055163	10
61883	Bhakti	10
50622	Nbenz	10
13165	Austin Capobianco	10
8953	aeroNotAuto	10
70783	DiaryofNewton	10
100506	MindYB	10
70515	Yogesch	10
24215	geompalik	10
16111	B Seven	10
16213	aventurin	10
35481	kdavid2	10
51126	Mohan Radhakrishnan	10
104392	yudhiesh	10
46230	Jun Jang	10
42354	krayyem	10
93885	fffrost	10
12438	Josh Brown Kramer	10
69543	Kamil	10
83922	Saandeep Sreerambatla	10
947	David	10
69452	user2816215	10
80221	HashRocketSyntax	10
86686	Mehdi	10
80245	Balaram Achuri	10
100967	truth	10
1127	neuron	9
67068	Gaurav Koradiya	9
8650	Chris	9
31689	Chakra	9
84471	kazemakase	9
66532	Mei Lie	9
27144	dijksterhuis	9
80241	Ruben Kazumov	9
3436	Ahmad	9
73365	gbdata	9
29498	Paul Jurczak	9
47856	Bence Mélykúti	9
106376	Raj	9
93863	Jean	9
77338	Daren	9
73851	IamTheRealFord	9
10094	Alexandru Daia	9
32314	teodron	9
8774	hlin117	9
19212	quant	9
30335	generic_user	9
32367	kris	9
2961	rcs	9
66745	Heena	9
85641	Andre S.	9
51369	karthiks	9
73990	Zoidberg	9
30624	Impuls3H	9
70220	Mouad Alami	9
69544	Abdullah Mohamed	9
71952	Sm1	9
18778	Strava Ostetnis	9
20884	Richard	9
386	user13985	9
26976	Ashish kulkarni	9
57461	Siddhi Kiran Bajracharya	9
2614	BigDataDude	9
2781	Jamie	9
60710	dzieciou	9
39011	oneextrafact	9
29582	C. S.	9
34037	user7677413	9
46527	Tarek	9
51858	An old man in the sea.	9
9483	Jordan A	9
30613	Sledge	9
28937	AutoMiner	9
50013	Alex Lenail	9
95000	Igor Belkov	9
58977	userFarkill	9
87109	chzhrr	9
10517	phiver	9
95750	It'sRecreational	9
92	cwharland	9
32637	user798719	9
52106	Alber8295	9
73150	Alex F	9
96592	deadweight414	9
44808	Bloodstone Programmer	9
25157	Eskapp	9
5044	Juanito	9
106647	ayiram	9
21990	Jan Sila	9
50828	Saptarshi Roy	9
73114	Sundeep Pidugu	9
98427	moii789	9
59252	atmarges	9
14736	Mpizos Dimitris	9
28780	Craig	9
29473	floflo29	9
15685	nikicc	9
43870	shakedzy	9
86885	seralouk	9
56227	c zl	9
70774	Kev Schl	9
57310	Amith Adiraju	9
45385	user5722540	9
65349	"\"1.618\""	9
5200	eulerleibniz	9
33011	Abhishek Bhatia	9
65225	Joe B	9
59783	Ethan Yun	9
105432	Coldchain9	9
42058	CrankMuffler	9
9461	Totem	9
32963	Tido	9
2853	Stephan Kolassa	9
34165	geometrikal	9
61455	Matt W	9
57610	Tarlan Ahad	9
107911	sickerin	9
25800	jkyh	9
24346	v78	9
32433	Alaa M.	9
82308	Ahmad Sarairah	9
33198	Mathmath	9
99207	Pythoner	9
104403	quilliam	9
80770	Land	9
18000	tsorn	9
1003	fansia	9
38791	Shengjie	9
91594	Igor F.	9
54581	omkaartg	9
57493	Predicted Life	9
9257	KyBe	9
59174	bachr	9
79087	rigo	9
31346	astroman	9
64042	hristijan_ds	9
4619	user3634601	9
712	glhuilli	9
46454	TingTing	9
16249	Aart Goossens	9
73475	adjr2	9
1281	Trylks	9
10322	user10322	9
87735	Vishal Singh	9
10588	jangorecki	9
56412	Harigovind Valsakumar	9
26329	Anurag Upadhyaya	9
50946	Malibayev Assylbek	9
82808	user82808	9
25876	Vikram	9
80650	Simon Krannig	9
24696	Kiki Rizki Arpiandi	9
29157	Vikram Murthy	9
52480	M.Innat	9
65073	JollyRoger	9
78897	joe_mind	9
104872	CutePoison	9
199	Filipe Ferminiano	9
45064	Jakub Bartczuk	9
82632	Marvin Purtorab	9
10523	user3377126	9
3321	Eleanore	9
98127	N. Kiefer	9
3299	SnShines	9
32156	objectivephilosopher	9
56246	maira khan	9
12798	Tobias Würfl	9
60105	user_6396	9
20766	Nikhil Verma	9
74727	vico	9
14625	Thomas Kiehne	9
96503	fred	9
172	damienfrancois	9
25766	Shamy	9
98234	Ashley	9
103984	Aastha Jha	9
51495	kindgnice	9
78599	Flewer47	9
1097	Matt	9
30396	enclis	9
42226	david guez	9
38091	Harshith	9
71010	George Lee	9
27038	Doug Brummell	9
85597	HelloWorld	9
36	statsRus	9
23708	vijolica	9
9465	Rizky Luthfianto	8
13285	paparazzo	8
69481	JChat	8
13648	giogix	8
17783	Thanos	8
96978	thomaskolasa	8
79049	M. Grimm	8
89929	Sri Test	8
65823	baddy	8
9867	sds	8
21462	OrangeSherbet	8
86377	Jamie	8
68247	Apoorv Jain	8
41419	Dhanshree Bagal	8
43474	Alex	8
65166	Fouzi TAKELAIT	8
15902	The6thSense	8
37300	Ilovescience	8
67361	lona	8
115	Johnny000	8
5055	Ehsan M. Kermani	8
